feature,importance,selected
follicle_no_r,0.18309806837837544,True
follicle_no_l,0.1430800256879513,True
skin_darkening_y_n,0.05482344795920742,True
hair_growth_y_n,0.05361156629271052,True
weight_gain_y_n,0.05280870299810604,True
amh_ng_ml,0.03828657971258472,True
cycle_length_days,0.028404391119949732,True
weight_kg,0.023055305892207723,True
cycle_r_i,0.023020630708529857,True
fast_food_y_n,0.021420220787022312,True
age_yrs,0.02004307730882111,True
lh_miu_ml,0.019584518152502256,True
endometrium_mm,0.018660498750428415,True
vit_d3_ng_ml,0.018452052491643806,True
fsh_miu_ml,0.018173420055706938,True
beta_hcg_ratio,0.017892183854225432,True
hip_inch,0.0178762519122616,True
tsh_miu_l,0.017580407342068356,True
avg_f_size_l_mm,0.017548776664131398,True
marraige_status_yrs,0.01753595800602894,True
i_beta_hcg_miu_ml,0.01644720152188415,False
avg_f_size_r_mm,0.015597517991778198,False
rbs_mg_dl,0.015527507211236689,False
waist_hip_ratio,0.015468906158542383,False
prl_ng_ml,0.01546046663869053,False
height_cm,0.015159255268279785,False
prg_ng_ml,0.015129957898003263,False
hb_g_dl,0.013784153381044164,False
pimples_y_n,0.011613053083863905,False
pulse_rate_bpm,0.01157251312882651,False
ii_beta_hcg_miu_ml,0.009196558991909177,False
rr_breaths_min,0.006318204945963728,False
hair_loss_y_n,0.006250807960684095,False
blood_group,0.005951455488275208,False
bmi_category,0.005843264248710547,False
bp_systolic_mmhg,0.0043898689187029175,False
reg_exercise_y_n,0.004049735919497272,False
no_of_abortions,0.002867543567736106,False
bp_diastolic_mmhg,0.002500662083397373,False
pregnant_y_n,0.0019152815185106626,False
