model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.944954128440367,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.963089802130898
XGBoost,0.9357798165137615,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9482496194824962
StackingEnsemble,0.9174311926605505,0.8292682926829268,0.9444444444444444,0.8831168831168831,0.9592846270928462
RandomForest,0.9174311926605505,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9459665144596652
LightGBM,0.8990825688073395,0.9032258064516129,0.7777777777777778,0.835820895522388,0.9562404870624048
